"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2025","133.22","133.47","134.33","132.50","32.71K","-1.51%"
"01/23/2025","135.26","133.15","135.48","132.46","42.49K","0.72%"
"01/22/2025","134.29","135.30","135.68","134.07","54.70K","1.57%"
"01/21/2025","132.22","126.02","132.22","125.66","72.43K","6.59%"
"01/17/2025","124.05","124.31","125.37","123.97","19.02K","-0.56%"
"01/16/2025","124.75","123.59","125.57","123.49","26.45K","0.22%"
"01/15/2025","124.47","124.45","125.63","123.14","32.63K","1.98%"
"01/14/2025","122.05","122.29","123.05","121.50","34.95K","-0.29%"
"01/13/2025","122.40","122.67","123.07","121.70","56.20K","-2.30%"
"01/10/2025","125.28","126.80","126.86","124.27","36.15K","-0.68%"
"01/08/2025","126.14","126.03","126.58","125.28","35.33K","0.63%"
"01/07/2025","125.35","126.77","127.30","125.13","80.60K","0.88%"
"01/06/2025","124.26","123.35","125.53","123.13","63.99K","3.26%"
"01/03/2025","120.34","121.06","121.20","119.35","31.95K","-0.64%"
"01/02/2025","121.11","121.31","122.08","120.50","53.98K","-0.54%"
"12/31/2024","121.77","122.69","122.93","120.90","27.32K","-0.51%"
"12/30/2024","122.39","121.75","124.05","121.08","66.55K","-0.26%"
"12/27/2024","122.71","123.37","123.68","122.33","124.03K","-1.12%"
"12/26/2024","124.10","122.24","124.84","121.70","19.42K","0.91%"
"12/24/2024","122.98","121.93","124.58","119.28","19.59K","0.45%"
"12/23/2024","122.43","122.56","122.79","120.84","53.32K","-0.27%"
"12/20/2024","122.76","121.65","123.97","121.65","32.84K","0.74%"
"12/19/2024","121.86","123.37","123.65","121.81","42.80K","-1.64%"
"12/18/2024","123.89","126.10","127.06","123.10","31.23K","-2.25%"
"12/17/2024","126.74","128.25","128.56","126.46","37.11K","-0.95%"
"12/16/2024","127.95","127.05","128.18","126.80","44.90K","1.36%"
"12/13/2024","126.23","126.97","127.05","124.71","20.59K","-1.12%"
"12/12/2024","127.66","126.65","128.56","126.52","44.59K","0.69%"
"12/11/2024","126.79","127.39","127.86","125.74","56.55K","4.25%"
"12/10/2024","121.62","126.15","126.66","120.62","72.74K","-3.40%"
"12/09/2024","125.90","127.25","127.31","125.58","33.67K","-1.46%"
"12/06/2024","127.76","126.98","128.34","126.88","16.34K","1.28%"
"12/05/2024","126.15","126.00","127.00","125.90","21.95K","1.78%"
"12/04/2024","123.94","124.54","125.49","123.77","32.03K","0.49%"
"12/03/2024","123.33","122.79","123.87","122.33","25.35K","1.80%"
"12/02/2024","121.15","120.37","121.42","119.76","66.12K","2.81%"
"11/29/2024","117.84","116.51","118.11","116.42","31.25K","1.39%"
"11/27/2024","116.22","115.90","116.72","115.24","53.02K","0.09%"
"11/26/2024","116.12","116.89","117.22","115.89","51.47K","0.27%"
"11/25/2024","115.81","115.86","116.55","115.32","45.79K","3.67%"
"11/22/2024","111.71","110.37","112.13","110.31","41.79K","0.78%"
"11/21/2024","110.84","110.39","111.08","109.64","33.57K","-2.02%"
"11/20/2024","113.13","113.18","113.26","111.59","35.33K","0.17%"
"11/19/2024","112.94","111.50","113.18","111.28","40.59K","-0.51%"
"11/18/2024","113.52","112.67","114.30","112.63","53.50K","0.29%"
"11/15/2024","113.19","114.52","114.58","112.95","47.43K","-0.93%"
"11/14/2024","114.25","114.90","115.68","114.24","44.16K","-0.07%"
"11/13/2024","114.33","114.72","115.20","113.35","47.95K","-1.40%"
"11/12/2024","115.95","116.64","116.76","114.65","34.78K","-2.18%"
"11/11/2024","118.54","119.47","119.91","118.19","30.45K","0.97%"
"11/08/2024","117.40","117.86","117.91","116.56","42.89K","-2.54%"
"11/07/2024","120.46","120.36","121.12","119.79","42.97K","5.10%"
"11/06/2024","114.62","114.45","114.88","113.55","32.81K","-4.89%"
"11/05/2024","120.51","119.75","121.10","119.71","76.64K","0.52%"
"11/04/2024","119.89","119.96","120.57","119.52","30.77K","-1.00%"
"11/01/2024","121.10","119.98","121.21","119.88","29.16K","1.31%"
"10/31/2024","119.54","118.84","119.55","117.05","31.83K","-0.42%"
"10/30/2024","120.05","119.02","120.35","118.81","60.79K","0.49%"
"10/29/2024","119.46","117.22","120.17","116.85","183.07K","3.59%"
"10/28/2024","115.32","115.79","116.17","115.10","121.40K","-1.34%"
"10/25/2024","116.89","117.08","117.94","116.53","25.91K","0.01%"
"10/24/2024","116.88","117.71","117.97","116.13","24.29K","0.75%"
"10/23/2024","116.01","117.34","117.72","115.87","34.68K","-2.46%"
"10/22/2024","118.93","118.92","119.38","118.60","31.25K","-1.24%"
"10/21/2024","120.42","122.10","122.10","119.81","48.40K","-2.70%"
"10/18/2024","123.76","124.54","124.63","123.35","66.51K","1.17%"
"10/17/2024","122.33","122.65","122.90","121.40","616.67K","0.87%"
"10/16/2024","121.28","124.82","125.12","120.66","1.07M","-6.45%"
"10/15/2024","129.64","130.56","134.39","128.79","309.27K","0.15%"
"10/14/2024","129.45","129.00","129.85","128.56","26.54K","1.08%"
"10/11/2024","128.07","128.40","128.40","126.96","16.94K","0.44%"
"10/10/2024","127.51","128.43","128.43","126.30","16.27K","-1.57%"
"10/09/2024","129.55","131.22","131.22","129.07","14.91K","-0.04%"
"10/08/2024","129.60","130.24","130.24","128.51","18.11K","-0.51%"
"10/07/2024","130.26","130.93","131.50","129.97","15.21K","-0.75%"
"10/04/2024","131.24","131.37","131.60","129.92","20.09K","0.65%"
"10/03/2024","130.39","131.37","131.42","129.52","23.62K","-0.25%"
"10/02/2024","130.72","130.95","131.37","129.28","29.11K","1.05%"
"10/01/2024","129.36","132.24","132.93","128.25","27.84K","-2.51%"
"09/30/2024","132.69","134.23","134.23","131.92","59.48K","-0.53%"
"09/27/2024","133.40","132.96","134.38","132.78","107.99K","1.87%"
"09/26/2024","130.95","130.74","131.63","129.75","29.83K","5.68%"
"09/25/2024","123.91","124.69","125.80","123.58","27.81K","0.41%"
"09/24/2024","123.41","123.07","123.71","122.70","15.99K","1.38%"
"09/23/2024","121.73","121.60","122.04","120.54","13.92K","-0.17%"
"09/20/2024","121.94","121.85","122.35","121.41","29.33K","-2.17%"
"09/19/2024","124.64","126.44","127.13","124.42","48.60K","1.30%"
"09/18/2024","123.04","124.23","125.06","122.04","47.35K","0.01%"
"09/17/2024","123.03","123.11","124.55","122.36","24.78K","0.47%"
"09/16/2024","122.46","122.18","122.95","121.56","19.79K","1.29%"
"09/13/2024","120.90","121.36","122.04","120.79","38.02K","-0.49%"
"09/12/2024","121.49","119.64","121.49","119.56","20.82K","2.51%"
"09/11/2024","118.52","116.76","118.72","115.80","50.56K","2.06%"
"09/10/2024","116.13","116.56","116.67","114.68","87.75K","-1.94%"
"09/09/2024","118.43","117.03","119.23","116.72","263.19K","-3.32%"
"09/06/2024","122.50","123.07","123.66","121.70","22.08K","-0.63%"
"09/05/2024","123.28","123.27","123.61","122.70","16.63K","-0.85%"
"09/04/2024","124.34","123.56","124.94","123.12","13.00K","-1.75%"
"09/03/2024","126.56","127.44","127.99","126.03","27.69K","-1.56%"
"08/30/2024","128.56","130.29","130.41","127.77","19.62K","0.93%"
"08/29/2024","127.38","127.28","128.92","126.65","20.94K","0.87%"
"08/28/2024","126.28","126.01","127.12","125.47","43.95K","1.12%"
"08/27/2024","124.88","122.92","125.25","122.71","35.77K","2.13%"
"08/26/2024","122.27","122.64","122.74","121.78","16.58K","0.02%"
"08/23/2024","122.24","120.85","122.90","120.56","21.30K","1.64%"
"08/22/2024","120.27","121.53","121.65","120.19","14.77K","-0.77%"
"08/21/2024","121.20","120.74","121.96","119.84","14.24K","1.85%"
"08/20/2024","119.00","119.67","120.13","118.74","13.28K","-1.54%"
"08/19/2024","120.86","119.45","120.90","119.33","22.71K","1.07%"
"08/16/2024","119.58","120.16","120.19","119.16","14.44K","-0.53%"
