AMZN,Date,Close,Date,Volume
,1/3/2020 16:00:00,93.75,1/3/2020 16:00:00,13990200
,1/10/2020 16:00:00,94.16,1/10/2020 16:00:00,17743595
,1/17/2020 16:00:00,93.24,1/17/2020 16:00:00,15785650
,1/24/2020 16:00:00,93.08,1/24/2020 16:00:00,13174836
,1/31/2020 16:00:00,100.44,1/31/2020 16:00:00,30332660
,2/7/2020 16:00:00,103.96,2/7/2020 16:00:00,23842907
,2/14/2020 16:00:00,106.74,2/14/2020 16:00:00,19774470
,2/21/2020 16:00:00,104.8,2/21/2020 16:00:00,13294317
,2/28/2020 16:00:00,94.19,2/28/2020 16:00:00,35644283
,3/6/2020 16:00:00,95.05,3/6/2020 16:00:00,29090851
,3/13/2020 16:00:00,89.25,3/13/2020 16:00:00,40749312
,3/20/2020 16:00:00,92.3,3/20/2020 16:00:00,49697405
,3/27/2020 16:00:00,95.01,3/27/2020 16:00:00,33057657
,4/3/2020 16:00:00,95.33,4/3/2020 16:00:00,23317443
,4/9/2020 16:00:00,102.14,4/9/2020 16:00:00,19520094
,4/17/2020 16:00:00,118.75,4/17/2020 16:00:00,41638680
,4/24/2020 16:00:00,120.51,4/24/2020 16:00:00,26364017
,5/1/2020 16:00:00,114.3,5/1/2020 16:00:00,34813900
,5/8/2020 16:00:00,118.98,5/8/2020 16:00:00,17833875
,5/15/2020 16:00:00,120.49,5/15/2020 16:00:00,19000145
,5/22/2020 16:00:00,121.84,5/22/2020 16:00:00,20666695
,5/29/2020 16:00:00,122.12,5/29/2020 16:00:00,15347563
,6/5/2020 16:00:00,124.15,6/5/2020 16:00:00,14394114
,6/12/2020 16:00:00,127.25,6/12/2020 16:00:00,25328869
,6/19/2020 16:00:00,133.75,6/19/2020 16:00:00,18693037
,6/26/2020 16:00:00,134.64,6/26/2020 16:00:00,21436533
,7/2/2020 16:00:00,144.51,7/2/2020 16:00:00,20949934
,7/10/2020 16:00:00,160,7/10/2020 16:00:00,29050432
,7/17/2020 16:00:00,148.1,7/17/2020 16:00:00,31896792
,7/24/2020 16:00:00,150.45,7/24/2020 16:00:00,29126685
,7/31/2020 16:00:00,158.23,7/31/2020 16:00:00,24482837
,8/7/2020 16:00:00,158.37,8/7/2020 16:00:00,21575711
,8/14/2020 16:00:00,157.4,8/14/2020 16:00:00,16313326
,8/21/2020 16:00:00,164.24,8/21/2020 16:00:00,19130688
,8/28/2020 16:00:00,170.09,8/28/2020 16:00:00,22329616
,9/4/2020 16:00:00,164.73,9/4/2020 16:00:00,28536635
,9/11/2020 16:00:00,155.81,9/11/2020 16:00:00,21707603
,9/18/2020 16:00:00,147.75,9/18/2020 16:00:00,28423950
,9/25/2020 16:00:00,154.76,9/25/2020 16:00:00,28864000
,10/2/2020 16:00:00,156.25,10/2/2020 16:00:00,23208684
,10/9/2020 16:00:00,164.33,10/9/2020 16:00:00,21253613
,10/16/2020 16:00:00,163.64,10/16/2020 16:00:00,31635612
,10/23/2020 16:00:00,160.22,10/23/2020 16:00:00,22004732
,10/30/2020 16:00:00,151.81,10/30/2020 16:00:00,30773138
,11/6/2020 16:00:00,165.57,11/6/2020 16:00:00,29430886
,11/13/2020 16:00:00,156.44,11/13/2020 16:00:00,26282080
,11/20/2020 16:00:00,154.97,11/20/2020 16:00:00,16560655
,11/27/2020 13:00:00,159.77,11/27/2020 13:00:00,14494259
,12/4/2020 16:00:00,158.13,12/4/2020 16:00:00,17543252
,12/11/2020 16:00:00,155.82,12/11/2020 16:00:00,16233336
,12/18/2020 16:00:00,160.08,12/18/2020 16:00:00,21377156
,12/24/2020 13:00:00,158.63,12/24/2020 13:00:00,9764331
,12/31/2020 16:00:00,162.85,12/31/2020 16:00:00,16726236
,1/8/2021 16:00:00,159.14,1/8/2021 16:00:00,18514101
,1/15/2021 16:00:00,155.21,1/15/2021 16:00:00,17819835
,1/22/2021 16:00:00,164.61,1/22/2021 16:00:00,16381942
,1/29/2021 16:00:00,160.31,1/29/2021 16:00:00,18807935
,2/5/2021 16:00:00,167.61,2/5/2021 16:00:00,25639099
,2/12/2021 16:00:00,163.89,2/12/2021 16:00:00,13249223
,2/19/2021 16:00:00,162.5,2/19/2021 16:00:00,13215611
