AXP,Date,Close,Date,Volume
,1/3/2020 16:00:00,124.6,1/3/2020 16:00:00,9445515
,1/10/2020 16:00:00,127.28,1/10/2020 16:00:00,13939602
,1/17/2020 16:00:00,131.52,1/17/2020 16:00:00,16394480
,1/24/2020 16:00:00,135.11,1/24/2020 16:00:00,18040366
,1/31/2020 16:00:00,129.87,1/31/2020 16:00:00,18615384
,2/7/2020 16:00:00,131.82,2/7/2020 16:00:00,13948071
,2/14/2020 16:00:00,135.87,2/14/2020 16:00:00,10804509
,2/21/2020 16:00:00,134.9,2/21/2020 16:00:00,9861801
,2/28/2020 16:00:00,109.93,2/28/2020 16:00:00,38870537
,3/6/2020 16:00:00,108.24,3/6/2020 16:00:00,48565929
,3/13/2020 16:00:00,99.6,3/13/2020 16:00:00,55769865
,3/20/2020 16:00:00,74.12,3/20/2020 16:00:00,64482866
,3/27/2020 16:00:00,88.73,3/27/2020 16:00:00,47010058
,4/3/2020 16:00:00,73.6,4/3/2020 16:00:00,38316453
,4/9/2020 16:00:00,94.82,4/9/2020 16:00:00,32973973
,4/17/2020 16:00:00,87.39,4/17/2020 16:00:00,39952037
,4/24/2020 16:00:00,83.17,4/24/2020 16:00:00,33568119
,5/1/2020 16:00:00,88.32,5/1/2020 16:00:00,35521288
,5/8/2020 16:00:00,89.5,5/8/2020 16:00:00,22555667
,5/15/2020 16:00:00,82.22,5/15/2020 16:00:00,39347830
,5/22/2020 16:00:00,89.33,5/22/2020 16:00:00,27902955
,5/29/2020 16:00:00,95.07,5/29/2020 16:00:00,34550627
,6/5/2020 16:00:00,109.73,6/5/2020 16:00:00,32946933
,6/12/2020 16:00:00,101.68,6/12/2020 16:00:00,33912350
,6/19/2020 16:00:00,100.94,6/19/2020 16:00:00,28832944
,6/26/2020 16:00:00,93.42,6/26/2020 16:00:00,30807630
,7/2/2020 16:00:00,94.33,7/2/2020 16:00:00,16870260
,7/10/2020 16:00:00,93.23,7/10/2020 16:00:00,24891314
,7/17/2020 16:00:00,95.18,7/17/2020 16:00:00,19809498
,7/24/2020 16:00:00,95.33,7/24/2020 16:00:00,21178676
,7/31/2020 16:00:00,93.32,7/31/2020 16:00:00,17806526
,8/7/2020 16:00:00,99.16,8/7/2020 16:00:00,15526809
,8/14/2020 16:00:00,100.41,8/14/2020 16:00:00,18629492
,8/21/2020 16:00:00,96.15,8/21/2020 16:00:00,19853661
,8/28/2020 16:00:00,102.54,8/28/2020 16:00:00,18399264
,9/4/2020 16:00:00,105.67,9/4/2020 16:00:00,23329220
,9/11/2020 16:00:00,103.36,9/11/2020 16:00:00,12885618
,9/18/2020 16:00:00,103.44,9/18/2020 16:00:00,22637047
,9/25/2020 16:00:00,96.26,9/25/2020 16:00:00,29676748
,10/2/2020 16:00:00,101.61,10/2/2020 16:00:00,20155614
,10/9/2020 16:00:00,106.34,10/9/2020 16:00:00,15655048
,10/16/2020 16:00:00,104.91,10/16/2020 16:00:00,13149633
,10/23/2020 16:00:00,100.98,10/23/2020 16:00:00,21410286
,10/30/2020 16:00:00,91.24,10/30/2020 16:00:00,26705528
,11/6/2020 16:00:00,96.69,11/6/2020 16:00:00,19446897
,11/13/2020 16:00:00,114.99,11/13/2020 16:00:00,39716975
,11/20/2020 16:00:00,112.58,11/20/2020 16:00:00,19579382
,11/27/2020 13:00:00,120.59,11/27/2020 13:00:00,16287587
,12/4/2020 16:00:00,125.04,12/4/2020 16:00:00,19708085
,12/11/2020 16:00:00,120.23,12/11/2020 16:00:00,17261463
,12/18/2020 16:00:00,117.51,12/18/2020 16:00:00,24950549
,12/24/2020 13:00:00,117.35,12/24/2020 13:00:00,11594849
,12/31/2020 16:00:00,120.91,12/31/2020 16:00:00,7441160
,1/8/2021 16:00:00,121.78,1/8/2021 16:00:00,23077356
,1/15/2021 16:00:00,122.15,1/15/2021 16:00:00,17013927
,1/22/2021 16:00:00,126.14,1/22/2021 16:00:00,16518820
,1/29/2021 16:00:00,116.26,1/29/2021 16:00:00,31753842
,2/5/2021 16:00:00,126.28,2/5/2021 16:00:00,17279602
,2/12/2021 16:00:00,129.62,2/12/2021 16:00:00,15071287
,2/19/2021 16:00:00,131.71,2/19/2021 16:00:00,11619703
,2/26/2021 16:00:00,135.26,2/26/2021 16:00:00,20099429
,3/5/2021 16:00:00,147.33,3/5/2021 16:00:00,19805035
,3/12/2021 16:00:00,148.54,3/12/2021 16:00:00,18707093
,3/19/2021 16:00:00,140.71,3/19/2021 16:00:00,18169127
,3/26/2021 16:00:00,143.73,3/26/2021 16:00:00,15272572
,4/1/2021 16:00:00,144.57,4/1/2021 16:00:00,9841777
,4/9/2021 16:00:00,147.78,4/9/2021 16:00:00,12289995
,4/16/2021 16:00:00,149.99,4/16/2021 16:00:00,12524470
,4/23/2021 16:00:00,144.33,4/23/2021 16:00:00,16595496
,4/30/2021 16:00:00,153.35,4/30/2021 16:00:00,15446605
,5/7/2021 16:00:00,158.98,5/7/2021 16:00:00,13363378
,5/14/2021 16:00:00,157.15,5/14/2021 16:00:00,14537638
,5/21/2021 16:00:00,156.87,5/21/2021 16:00:00,13941603
,5/28/2021 16:00:00,160.13,5/28/2021 16:00:00,13438236
,6/4/2021 16:00:00,165,6/4/2021 16:00:00,12906732
,6/11/2021 16:00:00,164.51,6/11/2021 16:00:00,12357950
,6/18/2021 16:00:00,158.17,6/18/2021 16:00:00,20228791
,6/25/2021 16:00:00,169.45,6/25/2021 16:00:00,20310019
,7/2/2021 16:00:00,168.5,7/2/2021 16:00:00,13266378
,7/9/2021 16:00:00,171.94,7/9/2021 16:00:00,16490666
,7/16/2021 16:00:00,170.01,7/16/2021 16:00:00,16760196
,7/23/2021 16:00:00,173.18,7/23/2021 16:00:00,24030747
,7/30/2021 16:00:00,170.53,7/30/2021 16:00:00,25629473
,8/6/2021 16:00:00,171.36,8/6/2021 16:00:00,15446319
,8/13/2021 16:00:00,166.08,8/13/2021 16:00:00,17324293
,8/20/2021 16:00:00,159.75,8/20/2021 16:00:00,22374640
,8/27/2021 16:00:00,168.65,8/27/2021 16:00:00,14131601
,9/3/2021 16:00:00,159.3,9/3/2021 16:00:00,17245965
,9/10/2021 16:00:00,158.72,9/10/2021 16:00:00,13076025
,9/17/2021 16:00:00,163.92,9/17/2021 16:00:00,19567672
,9/24/2021 16:00:00,175.72,9/24/2021 16:00:00,20100036
,10/1/2021 16:00:00,173.94,10/1/2021 16:00:00,17339881
,10/8/2021 16:00:00,175.15,10/8/2021 16:00:00,15119859
,10/15/2021 16:00:00,175.81,10/15/2021 16:00:00,17283631
,10/22/2021 16:00:00,187.08,10/22/2021 16:00:00,15761839
,10/29/2021 16:00:00,173.78,10/29/2021 16:00:00,19352963
,11/5/2021 16:00:00,176.69,11/5/2021 16:00:00,16586181
,11/12/2021 16:00:00,181.89,11/12/2021 16:00:00,14402465
,11/19/2021 16:00:00,173.54,11/19/2021 16:00:00,17063647
,11/26/2021 13:00:00,156.82,11/26/2021 13:00:00,20938732
,12/3/2021 16:00:00,155.94,12/3/2021 16:00:00,30221336
,12/10/2021 16:00:00,167.03,12/10/2021 16:00:00,18322649
,12/17/2021 16:00:00,160.01,12/17/2021 16:00:00,25936766
,12/23/2021 16:00:00,164.19,12/23/2021 16:00:00,13580421
,12/31/2021 16:00:00,163.6,12/31/2021 16:00:00,9182350
,1/7/2022 16:00:00,174.38,1/7/2022 16:00:00,18110456
,1/14/2022 16:00:00,168.4,1/14/2022 16:00:00,20574215
,1/21/2022 16:00:00,158.74,1/21/2022 16:00:00,15913217
,1/28/2022 16:00:00,177.06,1/28/2022 16:00:00,34907561
,2/4/2022 16:00:00,185.85,2/4/2022 16:00:00,19293658
,2/11/2022 16:00:00,191.81,2/11/2022 16:00:00,22354969
,2/18/2022 16:00:00,194.88,2/18/2022 16:00:00,17957003
,2/25/2022 16:00:00,193.71,2/25/2022 16:00:00,18295436
,3/4/2022 16:00:00,172.95,3/4/2022 16:00:00,27098828
,3/11/2022 16:00:00,167.9,3/11/2022 16:00:00,26448817
,3/18/2022 16:00:00,190.72,3/18/2022 16:00:00,28824198
,3/25/2022 16:00:00,190.28,3/25/2022 16:00:00,14134491
,4/1/2022 16:00:00,187.17,4/1/2022 16:00:00,14534810
,4/8/2022 16:00:00,183.7,4/8/2022 16:00:00,16227684
,4/14/2022 16:00:00,181.16,4/14/2022 16:00:00,14813712
,4/22/2022 16:00:00,180.54,4/22/2022 16:00:00,15499548
,4/29/2022 16:00:00,174.71,4/29/2022 16:00:00,18139487
,5/6/2022 16:00:00,167.15,5/6/2022 16:00:00,16081696
,5/13/2022 16:00:00,158.75,5/13/2022 16:00:00,19084456
,5/20/2022 16:00:00,153.24,5/20/2022 16:00:00,14188344
,5/27/2022 16:00:00,169.6,5/27/2022 16:00:00,14547011
,6/3/2022 16:00:00,166.83,6/3/2022 16:00:00,9497938
,6/10/2022 16:00:00,154.42,6/10/2022 16:00:00,10891485
,6/17/2022 16:00:00,144.18,6/17/2022 16:00:00,25907753
,6/24/2022 16:00:00,146.15,6/24/2022 16:00:00,19810650
,7/1/2022 16:00:00,140.4,7/1/2022 16:00:00,16785869
,7/8/2022 16:00:00,141.76,7/8/2022 16:00:00,16348907
,7/15/2022 16:00:00,142.48,7/15/2022 16:00:00,17076297
,7/22/2022 16:00:00,153.01,7/22/2022 16:00:00,23486351
,7/29/2022 16:00:00,154.02,7/29/2022 16:00:00,18841598
,8/5/2022 16:00:00,157.51,8/5/2022 16:00:00,13675257
,8/12/2022 16:00:00,165.84,8/12/2022 16:00:00,13214952
,8/19/2022 16:00:00,162.24,8/19/2022 16:00:00,8826179
,8/26/2022 16:00:00,157.31,8/26/2022 16:00:00,11193969
,9/2/2022 16:00:00,149.79,9/2/2022 16:00:00,12523416
,9/9/2022 16:00:00,158.44,9/9/2022 16:00:00,11506928
,9/16/2022 16:00:00,153.08,9/16/2022 16:00:00,19405476
,9/23/2022 16:00:00,140.26,9/23/2022 16:00:00,13083613
,9/30/2022 16:00:00,134.91,9/30/2022 16:00:00,17905292
,10/7/2022 16:00:00,139,10/7/2022 16:00:00,12265747
,10/14/2022 16:00:00,136.81,10/14/2022 16:00:00,16986191
,10/21/2022 16:00:00,140.04,10/21/2022 16:00:00,25981311
,10/28/2022 16:00:00,150.44,10/28/2022 16:00:00,17234064
,11/4/2022 16:00:00,144.72,11/4/2022 16:00:00,15853715
,11/11/2022 16:00:00,154.89,11/11/2022 16:00:00,17605749
,11/18/2022 16:00:00,152.5,11/18/2022 16:00:00,14620224
,11/25/2022 13:00:00,154.15,11/25/2022 13:00:00,6198583
,12/2/2022 16:00:00,156.75,12/2/2022 16:00:00,13309502
,12/9/2022 16:00:00,153.9,12/9/2022 16:00:00,12571973
,12/16/2022 16:00:00,146.3,12/16/2022 16:00:00,18236351
,12/23/2022 16:00:00,147.02,12/23/2022 16:00:00,10834749
,12/30/2022 16:00:00,147.75,12/30/2022 16:00:00,7354770
,1/6/2023 16:00:00,150.17,1/6/2023 16:00:00,10966177
,1/13/2023 16:00:00,155.76,1/13/2023 16:00:00,14245237
,1/20/2023 16:00:00,151.6,1/20/2023 16:00:00,13643085
,1/27/2023 16:00:00,172.31,1/27/2023 16:00:00,26511196
,2/3/2023 16:00:00,178.86,2/3/2023 16:00:00,31337382
,2/10/2023 16:00:00,179.25,2/10/2023 16:00:00,15994797
,2/17/2023 16:00:00,177.3,2/17/2023 16:00:00,11185261
,2/24/2023 16:00:00,174.25,2/24/2023 16:00:00,9424840
,3/3/2023 16:00:00,179.09,3/3/2023 16:00:00,11447983
,3/10/2023 16:00:00,165.7,3/10/2023 16:00:00,17192706
,3/17/2023 16:00:00,156.52,3/17/2023 16:00:00,29693507
,3/24/2023 16:00:00,159.78,3/24/2023 16:00:00,17725029
,3/31/2023 16:00:00,164.95,3/31/2023 16:00:00,18981939
,4/6/2023 16:00:00,158.83,4/6/2023 16:00:00,10869461
,4/14/2023 16:00:00,163.22,4/14/2023 16:00:00,13279704
,4/21/2023 16:00:00,163.78,4/21/2023 16:00:00,23550528
,4/28/2023 16:00:00,161.34,4/28/2023 16:00:00,13207750
,5/5/2023 16:00:00,152.65,5/5/2023 16:00:00,15605525
,5/12/2023 16:00:00,147.93,5/12/2023 16:00:00,14417404
,5/19/2023 16:00:00,152.95,5/19/2023 16:00:00,11567017
,5/26/2023 16:00:00,157.24,5/26/2023 16:00:00,14970614
,6/2/2023 16:00:00,168.56,6/2/2023 16:00:00,17764501
,6/9/2023 16:00:00,171.72,6/9/2023 16:00:00,13847595
,6/16/2023 16:00:00,172.21,6/16/2023 16:00:00,14831437
,6/23/2023 16:00:00,168.07,6/23/2023 16:00:00,12649889
,6/30/2023 16:00:00,174.2,6/30/2023 16:00:00,13500790
,7/7/2023 16:00:00,169.8,7/7/2023 16:00:00,9491663
,7/14/2023 16:00:00,173.39,7/14/2023 16:00:00,10363754
,7/21/2023 16:00:00,170.22,7/21/2023 16:00:00,20623677
,7/28/2023 16:00:00,165.43,7/28/2023 16:00:00,17488792
,8/4/2023 16:00:00,165.41,8/4/2023 16:00:00,11891177
,8/11/2023 16:00:00,165.27,8/11/2023 16:00:00,11234126
,8/18/2023 16:00:00,160.23,8/18/2023 16:00:00,10882626
,8/25/2023 16:00:00,158.32,8/25/2023 16:00:00,11807014
,9/1/2023 16:00:00,159.62,9/1/2023 16:00:00,13575241
,9/8/2023 16:00:00,157.43,9/8/2023 16:00:00,11649329
,9/15/2023 16:00:00,163.75,9/15/2023 16:00:00,18730821
,9/22/2023 16:00:00,153.08,9/22/2023 16:00:00,11707100
,9/29/2023 16:00:00,149.19,9/29/2023 16:00:00,15541522
,10/6/2023 16:00:00,149.32,10/6/2023 16:00:00,16229510
,10/13/2023 16:00:00,151.1,10/13/2023 16:00:00,12244935
,10/20/2023 16:00:00,141.57,10/20/2023 16:00:00,22048228
,10/27/2023 16:00:00,141.31,10/27/2023 16:00:00,18496477
,11/3/2023 16:00:00,152.76,11/3/2023 16:00:00,15149120
,11/10/2023 16:00:00,154.38,11/10/2023 16:00:00,10019366
,11/17/2023 16:00:00,162.56,11/17/2023 16:00:00,14720616
,11/24/2023 13:00:00,164.42,11/24/2023 13:00:00,9482116
,12/1/2023 16:00:00,173.76,12/1/2023 16:00:00,14649848
,12/8/2023 16:00:00,168.43,12/8/2023 16:00:00,19452570
,12/15/2023 16:00:00,180.51,12/15/2023 16:00:00,20653176
,12/22/2023 16:00:00,185.57,12/22/2023 16:00:00,17092845
,12/29/2023 16:00:00,187.34,12/29/2023 16:00:00,6456473
,1/5/2024 16:00:00,189.06,1/5/2024 16:00:00,9978021
,1/12/2024 16:00:00,182.04,1/12/2024 16:00:00,15115169
,1/19/2024 16:00:00,183.17,1/19/2024 16:00:00,13124817
,1/26/2024 16:00:00,201.43,1/26/2024 16:00:00,25553277
,2/2/2024 16:00:00,206.41,2/2/2024 16:00:00,19133813
,2/9/2024 16:00:00,212.47,2/9/2024 16:00:00,18548867
,2/16/2024 16:00:00,212.56,2/16/2024 16:00:00,15670020
,2/23/2024 16:00:00,214.56,2/23/2024 16:00:00,11586790
,3/1/2024 16:00:00,219.66,3/1/2024 16:00:00,15101581
,3/8/2024 16:00:00,223.37,3/8/2024 16:00:00,13242686
,3/15/2024 16:00:00,218.46,3/15/2024 16:00:00,15254914
,3/22/2024 16:00:00,225.96,3/22/2024 16:00:00,11769030
,3/28/2024 16:00:00,227.69,3/28/2024 16:00:00,8674915
,4/5/2024 16:00:00,222.46,4/5/2024 16:00:00,10534915
,4/12/2024 16:00:00,218.2,4/12/2024 16:00:00,13600119
,4/19/2024 16:00:00,231.04,4/19/2024 16:00:00,21367827
,4/26/2024 16:00:00,235.64,4/26/2024 16:00:00,20587286
,5/3/2024 16:00:00,230.77,5/3/2024 16:00:00,17375399
,5/10/2024 16:00:00,242.3,5/10/2024 16:00:00,12603258
,5/17/2024 16:00:00,242.82,5/17/2024 16:00:00,11624560
,5/24/2024 16:00:00,238.18,5/24/2024 16:00:00,10999173
,5/31/2024 16:00:00,240,5/31/2024 16:00:00,12515634
,6/7/2024 16:00:00,232.67,6/7/2024 16:00:00,13036731
,6/14/2024 16:00:00,224.82,6/14/2024 16:00:00,14578036
,6/21/2024 16:00:00,230.38,6/21/2024 16:00:00,12635810
,6/28/2024 16:00:00,231.55,6/28/2024 16:00:00,14950085
,7/5/2024 16:00:00,235.63,7/5/2024 16:00:00,8518659
,7/12/2024 16:00:00,238.63,7/12/2024 16:00:00,11266364
,7/19/2024 16:00:00,242.38,7/19/2024 16:00:00,18404618
,7/26/2024 16:00:00,245.89,7/26/2024 16:00:00,13995562
