"Date","Price","Open","High","Low","Vol.","Change %"
"24/01/2025","6.542500","6.910000","6.990000","6.410000","18.98K","-5.73%"
"23/01/2025","6.939900","6.600000","6.962600","6.600000","24.11K","7.26%"
"22/01/2025","6.470000","5.990000","6.799900","5.990000","29.00K","9.88%"
"21/01/2025","5.888100","5.590000","5.990000","5.590000","29.82K","5.52%"
"17/01/2025","5.580000","5.450000","5.610000","5.440000","7.21K","2.95%"
"16/01/2025","5.420000","5.574200","5.630000","5.335400","9.82K","0.56%"
"15/01/2025","5.390000","5.365000","5.650000","5.260000","17.61K","1.32%"
"14/01/2025","5.320000","5.300000","5.530000","5.250000","27.79K","-0.47%"
"13/01/2025","5.345000","5.310000","5.470000","5.050000","5.28K","-2.29%"
"10/01/2025","5.470000","5.450000","5.580000","5.300000","30.02K","1.86%"
"08/01/2025","5.370000","5.420000","5.450000","5.310600","8.58K","1.51%"
"07/01/2025","5.290000","5.510000","5.510000","5.040000","10.58K","-4.17%"
"06/01/2025","5.520000","5.320000","5.590000","5.286400","16.02K","4.74%"
"03/01/2025","5.270000","5.054000","5.310000","4.899000","19.29K","5.19%"
"02/01/2025","5.010000","4.890000","5.010000","4.681300","7.88K","1.21%"
"31/12/2024","4.950000","5.100000","5.449900","4.839800","5.79K","-1.98%"
"30/12/2024","5.050000","5.020000","5.550000","5.020000","46.53K","-2.13%"
"27/12/2024","5.160000","4.540000","5.209700","4.440100","38.63K","14.92%"
"26/12/2024","4.490000","4.500000","4.560000","4.480000","15.13K","0.00%"
"24/12/2024","4.490000","4.360000","4.490000","4.360000","3.34K","2.28%"
"23/12/2024","4.390000","4.380000","4.600000","4.115300","31.47K","-2.23%"
"20/12/2024","4.490000","4.410000","4.506500","4.276300","10.55K","1.81%"
"19/12/2024","4.410000","4.590000","4.620000","4.360000","12.37K","-2.43%"
"18/12/2024","4.520000","4.540000","4.710000","4.457300","19.86K","1.69%"
"17/12/2024","4.445000","4.570000","5.000000","4.350000","67.10K","0.79%"
"16/12/2024","4.410000","4.380000","4.540000","4.380000","27.26K","-2.86%"
"13/12/2024","4.540000","4.500000","4.600000","4.490000","5.82K","0.44%"
"12/12/2024","4.520000","4.500000","4.610000","4.280000","20.32K","1.35%"
"11/12/2024","4.460000","4.430000","4.490000","4.360000","11.62K","-0.67%"
"10/12/2024","4.490000","4.550000","4.550000","4.420000","13.90K","-0.44%"
"09/12/2024","4.510000","4.300000","4.570000","4.270000","39.48K","6.37%"
"06/12/2024","4.240000","4.100000","4.299900","4.100000","11.95K","2.42%"
"05/12/2024","4.140000","4.170000","4.197000","4.040000","9.91K","-0.72%"
"04/12/2024","4.170000","3.990000","4.330000","3.990000","24.55K","3.22%"
"03/12/2024","4.040000","4.060000","4.093700","4.020000","8.83K","-0.49%"
"02/12/2024","4.060000","4.070000","4.100000","4.000000","12.89K","0.00%"
