"Date","Price","Open","High","Low","Vol.","Change %"
"24/01/2025","737.97","675.29","752.00","660.00","1.78K","16.32%"
"23/01/2025","634.42","608.00","660.00","576.10","2.38K","5.69%"
"22/01/2025","600.27","555.00","610.00","555.00","4.14K","11.92%"
"21/01/2025","536.35","542.22","545.00","489.98","2.29K","-1.05%"
"20/01/2025","542.05","517.88","550.00","515.00","0.44K","8.25%"
"17/01/2025","500.76","475.25","505.00","472.83","2.44K","1.16%"
"16/01/2025","495.00","463.00","502.21","445.69","2.43K","14.95%"
"15/01/2025","430.62","402.76","456.57","396.00","3.78K","6.81%"
"14/01/2025","403.18","406.45","438.67","394.00","3.66K","7.74%"
"13/01/2025","374.21","385.04","395.00","357.65","3.65K","-3.75%"
"10/01/2025","388.77","428.22","442.46","383.32","7.70K","-7.10%"
"09/01/2025","418.49","425.00","433.00","398.86","0.52K","-1.81%"
"08/01/2025","426.20","447.61","474.61","420.00","3.95K","-21.34%"
"07/01/2025","541.81","630.49","644.75","494.95","4.18K","-20.66%"
"06/01/2025","682.87","730.00","744.99","660.00","2.07K","-5.50%"
"03/01/2025","722.64","631.30","725.19","615.00","1.07K","16.23%"
"02/01/2025","621.72","665.80","671.76","559.36","1.67K","-10.96%"
"31/12/2024","698.25","677.54","708.10","669.13","0.34K","-1.23%"
"30/12/2024","706.94","706.99","716.60","650.00","1.80K","-4.72%"
"27/12/2024","741.99","837.93","837.93","701.00","3.86K","-4.70%"
"24/12/2024","778.60","788.08","792.60","763.08","0.26K","0.99%"
"23/12/2024","771.00","827.49","849.00","694.44","5.91K","10.74%"
"20/12/2024","696.22","614.33","696.22","528.92","4.34K","8.08%"
"19/12/2024","644.15","586.26","675.00","585.00","3.02K","-4.42%"
"18/12/2024","673.90","613.73","710.00","604.38","3.00K","6.97%"
"17/12/2024","630.00","640.00","640.00","565.00","2.99K","5.88%"
"16/12/2024","594.98","719.52","729.40","549.11","4.11K","-3.45%"
"13/12/2024","616.26","637.92","660.00","590.00","1.82K","-3.16%"
"12/12/2024","636.36","593.29","660.00","551.28","2.85K","15.43%"
"11/12/2024","551.28","573.65","613.61","490.00","6.48K","-9.74%"
"10/12/2024","610.76","640.78","667.42","573.82","3.73K","3.91%"
"09/12/2024","587.78","793.44","870.00","561.85","6.49K","-14.92%"
"06/12/2024","690.87","603.91","691.41","600.00","2.98K","17.87%"
"05/12/2024","586.13","536.45","595.00","535.60","1.67K","9.26%"
"04/12/2024","536.45","584.48","600.00","517.82","1.41K","-2.95%"
"03/12/2024","552.74","482.66","565.00","457.23","1.57K","14.43%"
"02/12/2024","483.03","478.67","503.07","468.00","2.65K","1.48%"
"29/11/2024","475.97","461.83","488.23","448.64","0.96K","3.50%"
"28/11/2024","459.86","457.32","463.37","453.09","0.40K","1.28%"
"27/11/2024","454.07","475.04","500.00","447.52","4.08K","-0.16%"
"26/11/2024","454.78","440.00","463.00","428.30","1.05K","0.38%"
"25/11/2024","453.05","456.04","504.00","442.00","4.04K","9.01%"
"22/11/2024","415.61","396.30","415.00","370.08","2.54K","3.90%"
"21/11/2024","399.99","376.56","420.00","370.40","4.95K","9.96%"
"20/11/2024","363.77","412.00","415.46","354.00","8.62K","-3.87%"
"19/11/2024","378.42","368.22","393.78","340.00","2.09K","-4.92%"
"18/11/2024","398.01","509.40","526.80","333.00","4.83K","-13.97%"
"15/11/2024","462.65","384.15","462.99","382.64","4.67K","26.18%"
"14/11/2024","366.65","399.68","413.06","347.00","1.18K","-14.78%"
"13/11/2024","430.25","363.94","435.42","363.94","3.58K","18.97%"
"12/11/2024","361.64","381.97","382.66","323.00","5.27K","-11.94%"
"11/11/2024","410.66","385.41","411.34","352.59","3.36K","19.60%"
"08/11/2024","343.37","307.46","341.54","284.29","2.89K","19.70%"
"07/11/2024","286.86","282.47","312.34","270.00","3.22K","5.17%"
"06/11/2024","272.77","287.00","291.02","242.83","2.46K","15.65%"
"05/11/2024","235.85","197.03","238.17","190.00","19.07K","63.45%"
"04/11/2024","144.30","143.54","147.15","135.87","3.84K","-3.89%"
"01/11/2024","150.14","145.79","152.00","142.65","0.50K","7.21%"
"31/10/2024","140.04","152.26","159.86","135.00","6.32K","-21.48%"
"30/10/2024","178.35","182.99","182.99","173.00","0.25K","-0.96%"
"29/10/2024","180.09","182.58","183.05","173.00","1.17K","-1.21%"
"28/10/2024","182.29","187.97","191.00","178.97","0.72K","1.25%"
"25/10/2024","180.04","167.70","184.37","165.50","6.39K","12.46%"
"24/10/2024","160.10","159.12","167.96","159.00","6.33K","0.82%"
"23/10/2024","158.79","159.73","165.05","155.00","5.90K","0.51%"
"22/10/2024","157.98","157.75","164.63","153.97","5.93K","2.23%"
"21/10/2024","154.53","162.10","164.29","156.00","9.35K","-2.15%"
"18/10/2024","157.93","149.99","157.29","149.99","3.56K","6.19%"
"17/10/2024","148.73","154.79","154.79","146.00","1.47K","-0.27%"
"16/10/2024","149.13","154.95","155.56","133.00","10.37K","-5.38%"
"15/10/2024","157.61","167.00","168.80","147.06","1.65K","-4.87%"
"14/10/2024","165.68","164.59","177.21","163.50","1.46K","-0.25%"
"11/10/2024","166.10","168.86","176.00","164.90","14.74K","-1.61%"
"10/10/2024","168.81","165.32","168.49","157.30","3.02K","5.31%"
"09/10/2024","160.31","146.77","163.10","145.60","3.27K","14.41%"
"08/10/2024","140.12","120.07","140.87","120.07","1.44K","10.02%"
"07/10/2024","127.36","132.45","132.45","123.54","0.94K","-3.61%"
"04/10/2024","132.13","125.50","132.93","125.50","1.79K","10.17%"
"03/10/2024","119.93","108.00","123.52","107.66","2.20K","11.38%"
"02/10/2024","107.68","99.69","107.83","99.00","0.53K","7.56%"
"01/10/2024","100.11","108.23","111.00","101.63","0.38K","-6.34%"
"30/09/2024","106.89","103.55","107.11","100.00","0.41K","1.50%"
"27/09/2024","105.31","105.82","110.27","104.00","0.25K","-3.88%"
"26/09/2024","109.56","111.30","112.00","104.00","0.55K","7.11%"
"25/09/2024","102.29","105.20","105.64","101.80","0.53K","-0.93%"
"24/09/2024","103.25","116.36","118.00","102.09","10.13K","-8.80%"
"23/09/2024","113.20","108.87","113.50","102.01","2.13K","11.78%"
"20/09/2024","101.27","102.56","102.56","96.50","2.56K","-6.83%"
"19/09/2024","108.69","109.64","111.76","101.50","2.20K","4.77%"
"18/09/2024","103.74","102.50","105.00","98.50","1.87K","0.29%"
"17/09/2024","103.44","104.45","108.48","98.60","3.97K","4.04%"
"16/09/2024","99.42","99.33","102.00","96.10","","1.78%"
"13/09/2024","97.69","90.69","96.23","90.14","1.57K","8.70%"
"12/09/2024","89.87","90.44","92.36","88.50","2.28K","7.12%"
"11/09/2024","83.89","83.74","87.05","80.00","2.16K","-4.52%"
"10/09/2024","87.86","87.96","91.16","81.54","2.22K","4.86%"
"09/09/2024","83.79","78.58","85.69","73.45","7.25K","43.47%"
"06/09/2024","58.40","59.62","66.03","58.00","3.96K","-4.43%"
"05/09/2024","61.11","64.94","65.44","61.11","6.83K","-3.19%"
