Price,Open,High,Low,Vol.,Change %
647.49,636.4,652.0,634.2,19070000.0,0.0173
636.45,627.36,636.6,621.15,9910000.0,0.0208
623.5,623.3,633.7,619.43,12270000.0,0.011399999999999999
616.46,617.83,621.5,609.01,11670000.0,0.006
612.77,624.05,624.97,603.67,17280000.0,0.0024
611.3,611.5,616.25,609.71,8359999.999999999,-0.009399999999999999
617.12,610.21,622.46,606.5,15520000.0,0.0385
594.25,605.07,605.49,588.55,13600000.0,-0.0231
608.33,607.1,608.97,598.45,10790000.0,-0.012199999999999999
615.86,610.03,629.91,597.34,19260000.0,0.0084
610.72,613.4,616.44,602.79,10090000.0,-0.0116
617.89,631.7,632.1,608.23,12070000.0,-0.0195
630.2,611.83,630.99,605.62,14560000.0,0.042300000000000004
604.63,604.76,609.5,596.41,11440000.0,0.009000000000000001
599.24,589.72,604.91,587.82,12680000.0,0.023399999999999997
585.51,592.27,593.97,583.85,6020000.0,-0.0097
591.24,588.75,596.94,585.58,7030000.0,-0.0143
599.81,599.41,601.85,589.8,8080000.0,-0.0059
603.35,605.48,606.3,598.94,6090000.0,-0.0072
607.75,602.72,607.99,599.28,4730000.0,0.0132
599.85,589.6,601.09,586.25,10210000.0,0.024900000000000002
585.25,590.58,603.11,580.0,48990000.0,-0.0173
595.57,610.39,611.52,595.0,14960000.0,-0.0027
597.19,621.0,627.36,596.32,17080000.0,-0.0359
619.44,626.17,632.37,616.54,12900000.0,-0.0077
624.24,629.97,631.15,618.58,10890000.0,0.0063
620.35,627.22,631.08,616.89,8450000.0,-0.0166
630.79,631.5,636.66,627.21,7470000.0,-0.003
632.68,623.37,638.4,621.53,10840000.0,0.0216
619.32,617.56,625.59,612.74,10940000.0,0.009399999999999999
613.57,623.92,626.4,606.17,11430000.0,-0.016399999999999998
623.77,610.1,629.79,608.53,16940000.0,0.024399999999999998
608.93,617.08,619.9,607.05,8080000.0,-0.0079
613.78,612.96,617.78,605.1,14700000.0,0.0002
613.65,595.0,614.2,591.25,14910000.0,0.0351
592.83,577.5,594.5,575.57,12520000.0,0.0322
574.32,569.0,578.46,566.9,7130000.0,0.009000000000000001
569.2,574.89,574.98,564.1,7200000.0,-0.0076
573.54,566.0,577.5,565.2,10360000.0,0.0149
565.11,562.1,572.59,556.39,13600000.0,0.010700000000000001
559.14,563.55,563.83,554.59,9160000.0,-0.006999999999999999
563.09,569.52,570.0,549.05,11150000.0,-0.0043
565.52,562.93,566.35,554.2,9800000.0,0.0079
561.09,551.86,561.43,550.6,9520000.0,0.0121
554.4,557.04,559.9,550.09,14350000.0,0.0006
554.08,571.22,572.57,551.5,17710000.0,-0.04
577.16,577.0,580.76,573.01,11050000.0,-0.0049
580.0,582.6,585.64,575.17,10760000.0,-0.008199999999999999
584.82,588.54,599.66,580.38,16290000.0,0.0028000000000000004
583.17,586.36,587.0,576.51,10210000.0,-0.0105
589.34,591.54,593.1,584.52,9420000.0,-0.004
591.7,576.89,594.8,575.21,14650000.0,0.0344
572.05,562.75,573.0,555.17,18310000.0,-0.0007000000000000001
572.43,567.3,573.48,566.67,9780000.0,0.021
560.68,564.1,568.69,557.89,12060000.0,-0.011399999999999999
567.16,567.6,573.67,562.56,15300000.0,-0.0007000000000000001
567.58,585.0,589.9,563.01,26840000.0,-0.0409
591.8,600.98,601.2,589.38,26860000.0,-0.0025
593.28,580.15,593.67,575.4,13020000.0,0.0262
578.16,582.0,583.75,574.12,10930000.0,0.0086
573.25,573.93,581.29,571.72,11340000.0,0.0096
567.78,567.13,568.88,561.52,7180000.0,0.0073
563.69,579.97,585.0,562.5,14250000.0,-0.0315
582.01,574.29,583.53,572.12,8540000.0,0.011899999999999999
575.16,576.03,577.24,569.11,8170000.0,-0.0023
576.47,581.1,583.97,575.25,7690000.0,-0.0008
576.93,583.33,584.97,575.2,8700000.0,0.0002
576.79,581.4,582.08,574.03,11270000.0,-0.016200000000000003
586.27,590.16,590.61,580.14,9560000.0,-0.006999999999999999
590.42,594.22,600.1,589.96,8250000.0,0.0008
589.95,584.83,591.21,582.71,8590000.0,0.0105
583.83,587.57,590.23,582.52,7740000.0,-0.0113
590.51,593.99,594.39,581.61,9530000.0,-0.004
592.89,589.69,593.56,585.97,7860000.0,0.0139
584.78,598.22,602.95,584.04,12010000.0,-0.0187
595.94,583.73,596.85,581.43,14200000.0,0.0226
582.77,570.15,583.36,568.73,11580000.0,0.0174
572.81,574.86,576.0,569.34,6520000.0,-0.0063
576.47,577.98,583.04,570.1,15260000.0,0.006999999999999999
572.44,567.7,574.68,564.8,12810000.0,0.009000000000000001
567.36,570.1,570.84,564.51,9400000.0,-0.0008
567.84,575.73,577.4,562.35,14400000.0,-0.0008
568.31,564.05,576.88,563.72,16540000.0,0.0088
563.33,566.68,567.74,554.19,12990000.0,-0.0019
564.41,569.5,573.98,562.41,12830000.0,0.0055000000000000005
561.35,560.0,564.5,556.3,22070000.0,0.004
559.1,550.0,562.07,546.52,15650000.0,0.0393
537.95,537.07,544.2,533.9,10320000.0,0.003
536.32,537.6,542.1,530.57,11690000.0,0.005699999999999999
533.28,524.54,534.1,517.4,9530000.0,0.0165
524.62,520.34,527.58,517.11,10320000.0,-0.0019
525.6,517.05,526.71,515.22,11990000.0,0.0269
511.83,507.01,513.12,495.6,10780000.0,0.0139
504.79,508.16,514.18,500.03,9900000.0,0.0
504.79,506.16,511.33,502.08,11050000.0,0.009000000000000001
500.27,521.88,524.58,498.25,14740000.0,-0.0321
516.86,511.72,521.63,511.15,8640000.0,0.008
512.74,506.07,516.59,504.07,8340000.0,0.0019
511.76,519.64,525.49,508.62,12460000.0,-0.0183
521.31,521.35,523.54,515.2,9160000.0,0.006
518.22,519.05,527.2,515.68,8320000.0,0.0028000000000000004
516.78,517.67,521.09,512.45,9110000.0,-0.0045000000000000005
519.1,518.98,524.01,515.31,6280000.0,-0.0039000000000000003
521.12,527.6,528.0,514.95,9580000.0,-0.013000000000000001
528.0,536.92,539.87,525.06,11320000.0,-0.0074
531.93,537.0,544.23,528.59,15710000.0,-0.006
535.16,527.15,539.4,526.93,13420000.0,0.016
526.73,528.35,531.09,525.88,7940000.0,-0.0048
529.28,526.87,531.66,522.76,9880000.0,0.0034999999999999996
527.42,531.9,533.66,524.66,14780000.0,-0.0184
537.33,531.79,539.77,526.7,13480000.0,0.020099999999999996
526.76,528.06,534.0,523.13,11440000.0,-0.0034000000000000002
528.54,520.01,531.5,518.15,13740000.0,0.024399999999999998
515.95,516.86,518.02,509.1,9770000.0,-0.0034999999999999996
517.77,507.71,518.34,505.7,13700000.0,0.016
509.63,497.5,509.96,494.72,16160000.0,0.0424
488.92,503.13,510.15,486.86,20110000.0,-0.0105
494.09,479.0,502.56,478.65,20950000.0,0.038599999999999995
475.73,451.35,483.48,450.8,21400000.0,-0.0254
488.14,489.0,501.14,476.15,24040000.0,-0.019299999999999998
497.74,521.0,527.17,492.1,43080000.0,0.0482
474.83,471.02,476.5,466.75,24290000.0,0.025099999999999997
463.19,467.0,472.73,456.7,11390000.0,-0.0054
465.71,469.88,473.96,465.02,11340000.0,0.0
465.7,464.2,469.77,459.42,14220000.0,0.0271
453.41,463.26,463.55,442.65,18240000.0,-0.017
461.27,472.3,476.3,460.58,17650000.0,-0.056100000000000004
488.69,489.84,495.22,487.72,9460000.0,0.0026
487.4,486.58,492.06,483.9,12020000.0,0.0223
476.79,476.06,486.71,475.71,15150000.0,0.002
475.85,475.0,479.24,464.54,19270000.0,0.03
461.99,479.17,479.17,459.12,28080000.0,-0.056799999999999996
489.79,501.5,503.95,485.79,14080000.0,-0.0128
496.16,498.63,506.68,493.37,12540000.0,-0.0054
498.87,497.76,508.09,494.23,19750000.0,-0.027000000000000003
512.7,530.89,535.46,508.37,16460000.0,-0.041100000000000005
534.69,530.79,538.88,528.36,10980000.0,0.0088
530.0,533.75,537.48,528.19,8770000.0,0.0013
529.32,542.35,542.81,526.65,14920000.0,-0.0196
539.91,511.6,540.87,511.6,21350000.0,0.0587
509.96,506.37,511.28,506.02,6010000.0,0.0009
509.5,500.76,510.5,499.45,7740000.0,0.0096
504.68,504.95,506.58,493.17,10330000.0,0.0009
504.22,517.15,521.88,503.84,15860000.0,-0.029500000000000002
519.56,514.25,522.88,513.9,10120000.0,0.0126
513.12,506.64,513.81,504.68,8880000.0,0.0049
510.6,497.05,510.71,495.5,12110000.0,0.023399999999999997
498.91,499.2,507.8,494.29,13530000.0,0.0083
494.78,503.45,503.45,492.39,23130000.0,-0.0138
501.7,502.0,503.67,496.77,11800000.0,0.0044
499.49,504.56,506.0,495.02,13060000.0,-0.0141
506.63,501.67,510.75,496.01,11270000.0,0.0049
504.16,502.65,507.15,500.75,10240000.0,0.0001
504.1,505.71,509.36,501.36,9950000.0,-0.009300000000000001
508.84,513.99,514.01,504.47,11980000.0,0.0027
507.47,500.16,507.6,498.27,9670000.0,0.0097
502.6,493.86,502.66,493.41,11240000.0,0.0196
492.96,495.91,498.91,490.17,9380000.0,-0.0016
493.76,492.98,502.82,490.89,10670000.0,-0.0026
495.06,484.45,496.65,483.91,15690000.0,0.0379
476.99,477.0,478.89,473.23,7090000.0,-0.001
477.49,470.86,479.6,468.24,11280000.0,0.022799999999999997
466.83,465.8,469.12,454.46,16920000.0,-0.0005
467.05,471.67,471.73,464.71,10740000.0,-0.0154
474.36,474.66,479.85,473.7,9230000.0,-0.0116
479.92,476.58,480.86,474.84,10180000.0,0.0036
478.22,467.62,479.85,466.3,12020000.0,0.026699999999999998
465.78,472.88,474.36,461.54,11750000.0,-0.0043
467.78,467.87,473.72,465.65,10080000.0,0.0068000000000000005
464.63,467.12,470.7,462.27,11740000.0,-0.009000000000000001
468.84,469.95,473.2,467.04,11750000.0,-0.006500000000000001
471.91,470.83,472.8,468.42,10810000.0,-0.0028000000000000004
473.23,475.0,477.69,472.75,16610000.0,-0.0173
481.54,474.98,482.5,471.2,13100000.0,0.020499999999999997
471.85,463.37,472.54,460.08,10480000.0,0.008199999999999999
468.01,472.75,473.35,462.85,14670000.0,-0.0172
476.2,477.09,477.5,469.6,10750000.0,0.0016
475.42,470.0,476.08,467.63,9440000.0,0.006
472.6,463.5,475.58,463.0,11680000.0,0.009300000000000001
468.24,466.29,471.53,461.31,13410000.0,0.0055000000000000005
465.68,455.58,466.16,453.34,15090000.0,0.0304
451.96,445.93,454.17,443.85,16489999.999999998,0.0233
441.68,438.84,443.96,432.28,15220000.0,0.005699999999999999
439.19,428.6,449.96,427.11,20340000.0,0.021
430.17,431.05,439.62,429.72,18430000.0,-0.005699999999999999
432.62,439.56,439.76,428.56,21500000.0,-0.0241
443.29,441.46,446.44,431.96,32689999.999999996,0.0043
441.38,421.4,445.77,414.5,82890000.0,-0.1056
493.5,508.06,510.0,484.58,37770000.0,-0.0052
496.1,491.25,498.76,488.97,15080000.0,0.0298
481.73,489.71,492.01,473.4,17270000.0,0.0014000000000000002
481.07,502.8,502.8,475.73,25220000.0,-0.041299999999999996
501.8,499.82,512.21,499.04,14810000.0,0.0154
494.17,503.1,503.16,487.14,12190000.0,-0.011200000000000002
499.76,498.11,504.77,497.11,9850000.0,-0.0009
500.23,516.72,518.53,497.28,13510000.0,-0.022799999999999997
511.9,517.75,520.19,509.33,11980000.0,-0.0215
523.16,521.11,523.86,517.29,10370000.0,0.0064
519.83,509.29,522.56,505.8,11420000.0,0.005699999999999999
516.9,522.23,525.87,506.74,10880000.0,-0.0045000000000000005
519.25,529.28,531.49,518.89,13260000.0,-0.015300000000000001
527.34,516.85,530.7,514.41,19260000.0,0.0321
510.92,516.42,530.0,510.58,26480000.0,0.008199999999999999
506.74,498.93,507.24,498.75,12100000.0,0.018799999999999997
497.37,485.1,497.53,484.65,11080000.0,0.0123
491.35,487.2,497.43,481.78,9250000.0,0.011899999999999999
485.58,492.84,492.89,485.15,15210000.0,-0.0168
493.86,499.3,499.89,488.07,9990000.0,-0.0040999999999999995
495.89,505.13,510.0,495.21,11210000.0,-0.014199999999999999
503.02,505.79,507.22,500.24,8380000.000000001,-0.0129
509.58,507.0,509.97,504.34,8119999.999999999,0.0036
507.76,514.71,515.04,506.01,9710000.0,0.0044
505.52,499.5,508.2,495.17,11710000.0,0.0187
496.24,488.17,496.63,481.28,10900000.0,-0.0015
496.98,491.91,497.42,486.81,11760000.0,0.026600000000000002
484.1,489.01,491.83,481.3,29150000.0,-0.015700000000000002
491.83,500.26,501.35,488.16,12620000.0,-0.0075
495.57,495.39,500.98,491.03,12090000.0,-0.0084
499.75,493.26,502.31,484.73,15450000.0,0.0334
483.59,497.01,497.32,476.0,20430000.0,-0.044199999999999996
505.95,514.19,523.57,499.35,18600000.0,-0.012199999999999999
512.19,503.28,519.85,501.38,18590000.0,0.0325
496.09,497.63,502.97,494.29,11760000.0,0.012
490.22,495.0,495.58,487.89,15330000.0,-0.016
498.19,503.0,504.42,496.42,12320000.0,-0.008199999999999999
502.3,492.11,504.25,491.85,15880000.0,0.0248
490.13,488.44,491.7,482.61,17730000.0,0.0126
484.02,485.0,491.05,482.75,12720000.0,-0.0062
487.05,479.98,487.27,479.92,10810000.0,0.011000000000000001
481.74,483.47,486.14,480.6,12100000.0,-0.004699999999999999
484.03,488.05,494.36,482.35,18370000.0,-0.0043
486.13,480.24,489.99,476.06,21630000.0,0.0387
468.03,466.5,469.0,461.79,12980000.0,-0.0079
471.75,469.71,476.18,466.56,18020000.0,-0.0033
473.32,478.11,478.96,469.21,23320000.0,-0.022099999999999998
484.03,475.28,488.62,472.22,24210000.0,0.0227
473.28,467.93,474.11,466.09,16860000.0,0.0286
460.12,456.87,467.89,455.09,20920000.0,-0.0187
468.9,468.19,479.14,466.58,19380000.0,0.0017000000000000001
468.11,472.95,473.59,467.46,18410000.0,-0.004
470.0,468.32,470.59,465.03,18820000.0,0.0009
469.59,458.0,471.52,456.18,23070000.0,0.0327
454.72,464.0,467.12,453.0,21660000.0,-0.0102
459.41,469.88,471.9,459.22,40830000.0,-0.032799999999999996
474.99,459.6,485.96,453.01,84710000.0,0.2032
394.78,393.94,400.5,393.05,29730000.0,0.011899999999999999
390.14,389.0,398.0,387.1,20180000.0,-0.0248
400.06,403.59,406.36,399.57,18610000.0,-0.0024
401.02,394.98,402.93,393.1,18740000.0,0.0175
394.14,394.35,396.79,391.59,13160000.0,0.0024
393.18,390.17,395.49,385.66,15090000.0,0.0063
