"Date","Price","Open","High","Low","Vol.","Change %"
"24/01/2025","818.00","829.00","829.30","815.40","39.78M","-1.36%"
"23/01/2025","829.30","821.00","829.50","820.90","20.38M","0.77%"
"22/01/2025","823.00","827.90","828.50","821.10","14.60M","-0.30%"
"21/01/2025","825.50","827.30","829.20","823.80","15.98M","0.02%"
"20/01/2025","825.30","825.00","828.60","823.80","19.51M","0.32%"
"17/01/2025","822.70","820.50","828.20","818.50","31.92M","0.60%"
"16/01/2025","817.80","815.80","822.30","810.80","26.41M","1.67%"
"15/01/2025","804.40","796.90","809.90","796.40","24.51M","0.65%"
"14/01/2025","799.20","799.90","802.50","794.60","20.76M","0.11%"
"13/01/2025","798.30","794.60","799.50","788.40","36.20M","-0.10%"
"10/01/2025","799.10","800.60","802.90","792.00","18.66M","-0.42%"
"09/01/2025","802.50","794.10","802.50","790.10","61.11M","1.43%"
"08/01/2025","791.20","782.70","792.40","781.40","23.42M","1.96%"
"07/01/2025","776.00","774.50","776.90","767.00","19.29M","-1.08%"
"06/01/2025","784.50","781.80","786.10","780.30","16.07M","0.28%"
"03/01/2025","782.30","775.50","787.30","775.50","22.05M","-0.14%"
"02/01/2025","783.40","777.00","785.10","768.40","22.90M","-0.24%"
"31/12/2024","785.30","778.50","785.40","776.40","5.26M","0.46%"
"30/12/2024","781.70","775.90","781.70","773.50","11.57M","0.59%"
"27/12/2024","777.10","773.80","777.40","771.50","9.84M","0.66%"
"24/12/2024","772.00","768.90","772.80","767.30","3.60M","0.90%"
"23/12/2024","765.10","767.40","770.00","761.60","10.15M","0.57%"
"20/12/2024","760.80","764.40","764.70","749.60","75.96M","-0.56%"
"19/12/2024","765.10","757.80","767.40","756.10","22.47M","-0.36%"
"18/12/2024","767.90","761.00","769.40","759.60","17.51M","1.35%"
"17/12/2024","757.70","761.70","764.20","757.60","20.34M","-0.50%"
"16/12/2024","761.50","762.80","768.30","760.50","18.51M","-0.61%"
"13/12/2024","766.20","759.70","766.20","758.90","17.83M","0.67%"
"12/12/2024","761.10","755.80","762.00","755.50","14.62M","0.69%"
"11/12/2024","755.90","750.00","758.90","750.00","22.69M","0.79%"
