CSCO,Date,Close,Date,Volume
,1/3/2020 16:00:00,47.63,1/3/2020 16:00:00,59321567
,1/10/2020 16:00:00,47.13,1/10/2020 16:00:00,95649362
,1/17/2020 16:00:00,49.02,1/17/2020 16:00:00,99755507
,1/24/2020 16:00:00,48.85,1/24/2020 16:00:00,67792343
,1/31/2020 16:00:00,45.97,1/31/2020 16:00:00,83883339
,2/7/2020 16:00:00,47.97,2/7/2020 16:00:00,72995708
,2/14/2020 16:00:00,46.97,2/14/2020 16:00:00,147659113
,2/21/2020 16:00:00,46.3,2/21/2020 16:00:00,86624820
,2/28/2020 16:00:00,39.93,2/28/2020 16:00:00,253486440
,3/6/2020 16:00:00,39.68,3/6/2020 16:00:00,207042586
,3/13/2020 16:00:00,37.64,3/13/2020 16:00:00,281395283
,3/20/2020 16:00:00,35.6,3/20/2020 16:00:00,249590160
,3/27/2020 16:00:00,38.82,3/27/2020 16:00:00,200698736
,4/3/2020 16:00:00,39.06,4/3/2020 16:00:00,129346491
,4/9/2020 16:00:00,41.2,4/9/2020 16:00:00,112341208
,4/17/2020 16:00:00,42.48,4/17/2020 16:00:00,117782561
,4/24/2020 16:00:00,42.52,4/24/2020 16:00:00,104179134
,5/1/2020 16:00:00,40.92,5/1/2020 16:00:00,100570927
,5/8/2020 16:00:00,42.99,5/8/2020 16:00:00,89234744
,5/15/2020 16:00:00,44.27,5/15/2020 16:00:00,169977236
,5/22/2020 16:00:00,44.9,5/22/2020 16:00:00,102777654
,5/29/2020 16:00:00,47.82,5/29/2020 16:00:00,107532151
,6/5/2020 16:00:00,47.83,6/5/2020 16:00:00,90200234
,6/12/2020 16:00:00,45.07,6/12/2020 16:00:00,116588136
,6/19/2020 16:00:00,45.32,6/19/2020 16:00:00,128300448
,6/26/2020 16:00:00,46.31,6/26/2020 16:00:00,190504231
,7/2/2020 16:00:00,45.63,7/2/2020 16:00:00,82525669
,7/10/2020 16:00:00,46.66,7/10/2020 16:00:00,88079858
,7/17/2020 16:00:00,46.75,7/17/2020 16:00:00,91073147
,7/24/2020 16:00:00,46.4,7/24/2020 16:00:00,99993335
,7/31/2020 16:00:00,47.1,7/31/2020 16:00:00,74260961
,8/7/2020 16:00:00,47.43,8/7/2020 16:00:00,71304756
,8/14/2020 16:00:00,42.5,8/14/2020 16:00:00,185271419
,8/21/2020 16:00:00,42.25,8/21/2020 16:00:00,109787194
,8/28/2020 16:00:00,42.2,8/28/2020 16:00:00,93816476
,9/4/2020 16:00:00,40.82,9/4/2020 16:00:00,148844095
,9/11/2020 16:00:00,39.88,9/11/2020 16:00:00,99415124
,9/18/2020 16:00:00,39.81,9/18/2020 16:00:00,129889941
,9/25/2020 16:00:00,38.45,9/25/2020 16:00:00,124872030
,10/2/2020 16:00:00,38.27,10/2/2020 16:00:00,113122293
,10/9/2020 16:00:00,39.85,10/9/2020 16:00:00,111152398
,10/16/2020 16:00:00,40.16,10/16/2020 16:00:00,99392285
,10/23/2020 16:00:00,38.82,10/23/2020 16:00:00,89136746
,10/30/2020 16:00:00,35.9,10/30/2020 16:00:00,166111134
,11/6/2020 16:00:00,37.53,11/6/2020 16:00:00,123572896
,11/13/2020 16:00:00,41.4,11/13/2020 16:00:00,180160580
,11/20/2020 16:00:00,40.97,11/20/2020 16:00:00,120997916
,11/27/2020 13:00:00,42.7,11/27/2020 13:00:00,75893592
,12/4/2020 16:00:00,44.38,12/4/2020 16:00:00,121143117
,12/11/2020 16:00:00,44.32,12/11/2020 16:00:00,82434244
,12/18/2020 16:00:00,45.44,12/18/2020 16:00:00,107638135
,12/24/2020 13:00:00,44.54,12/24/2020 13:00:00,53650027
,12/31/2020 16:00:00,44.75,12/31/2020 16:00:00,51435973
,1/8/2021 16:00:00,45.06,1/8/2021 16:00:00,103134348
,1/15/2021 16:00:00,45.43,1/15/2021 16:00:00,117179718
,1/22/2021 16:00:00,44.77,1/22/2021 16:00:00,77507568
,1/29/2021 16:00:00,44.58,1/29/2021 16:00:00,103077631
,2/5/2021 16:00:00,48.08,2/5/2021 16:00:00,94245633
,2/12/2021 16:00:00,47.29,2/12/2021 16:00:00,128381065
,2/19/2021 16:00:00,45.68,2/19/2021 16:00:00,73825631
