GOOG,Date,Close,Date,Volume
,1/3/2020 16:00:00,68.03,1/3/2020 16:00:00,4607528
,1/10/2020 16:00:00,71.49,1/10/2020 16:00:00,8098249
,1/17/2020 16:00:00,74.02,1/17/2020 16:00:00,8066523
,1/24/2020 16:00:00,73.34,1/24/2020 16:00:00,6783624
,1/31/2020 16:00:00,71.71,1/31/2020 16:00:00,8167925
,2/7/2020 16:00:00,73.96,2/7/2020 16:00:00,11825981
,2/14/2020 16:00:00,76.04,2/14/2020 16:00:00,6059640
,2/21/2020 16:00:00,74.26,2/21/2020 16:00:00,4899233
,2/28/2020 16:00:00,66.97,2/28/2020 16:00:00,14318286
,3/6/2020 16:00:00,64.92,3/6/2020 16:00:00,11969025
,3/13/2020 16:00:00,60.99,3/13/2020 16:00:00,16514840
,3/20/2020 16:00:00,53.62,3/20/2020 16:00:00,19600145
,3/27/2020 16:00:00,55.54,3/27/2020 16:00:00,18252365
,4/3/2020 16:00:00,54.89,4/3/2020 16:00:00,11684498
,4/9/2020 16:00:00,60.57,4/9/2020 16:00:00,9202608
,4/17/2020 16:00:00,64.16,4/17/2020 16:00:00,10349025
,4/24/2020 16:00:00,63.97,4/24/2020 16:00:00,9148228
,5/1/2020 16:00:00,66.03,5/1/2020 16:00:00,13087047
,5/8/2020 16:00:00,69.42,5/8/2020 16:00:00,7158800
,5/15/2020 16:00:00,68.66,5/15/2020 16:00:00,7926125
,5/22/2020 16:00:00,70.52,5/22/2020 16:00:00,7454590
,5/29/2020 16:00:00,71.45,5/29/2020 16:00:00,7278820
,6/5/2020 16:00:00,71.92,6/5/2020 16:00:00,6970970
,6/12/2020 16:00:00,70.66,6/12/2020 16:00:00,8276279
,6/19/2020 16:00:00,71.59,6/19/2020 16:00:00,9507116
,6/26/2020 16:00:00,68,6/26/2020 16:00:00,10226398
,7/2/2020 16:00:00,73.24,7/2/2020 16:00:00,7487208
,7/10/2020 16:00:00,77.09,7/10/2020 16:00:00,7551853
,7/17/2020 16:00:00,75.78,7/17/2020 16:00:00,8018479
,7/24/2020 16:00:00,75.59,7/24/2020 16:00:00,6879920
,7/31/2020 16:00:00,74.15,7/31/2020 16:00:00,9155120
,8/7/2020 16:00:00,74.72,8/7/2020 16:00:00,9788154
,8/14/2020 16:00:00,75.39,8/14/2020 16:00:00,6991958
,8/21/2020 16:00:00,79.02,8/21/2020 16:00:00,8219627
,8/28/2020 16:00:00,82.22,8/28/2020 16:00:00,10484769
,9/4/2020 16:00:00,79.55,9/4/2020 16:00:00,11877572
,9/11/2020 16:00:00,76.04,9/11/2020 16:00:00,7601232
,9/18/2020 16:00:00,73,9/18/2020 16:00:00,9323603
,9/25/2020 16:00:00,72.25,9/25/2020 16:00:00,8902969
,10/2/2020 16:00:00,72.92,10/2/2020 16:00:00,7752219
,10/9/2020 16:00:00,75.76,10/9/2020 16:00:00,6728209
,10/16/2020 16:00:00,78.65,10/16/2020 16:00:00,8990547
,10/23/2020 16:00:00,82.05,10/23/2020 16:00:00,9227878
,10/30/2020 16:00:00,81.05,10/30/2020 16:00:00,11250141
,11/6/2020 16:00:00,88.09,11/6/2020 16:00:00,11495063
,11/13/2020 16:00:00,88.85,11/13/2020 16:00:00,8917706
,11/20/2020 16:00:00,87.11,11/20/2020 16:00:00,7130930
,11/27/2020 13:00:00,89.66,11/27/2020 13:00:00,5672716
,12/4/2020 16:00:00,91.4,12/4/2020 16:00:00,7390377
,12/11/2020 16:00:00,89.09,12/11/2020 16:00:00,6508322
,12/18/2020 16:00:00,86.55,12/18/2020 16:00:00,10237074
,12/24/2020 13:00:00,86.94,12/24/2020 13:00:00,4147394
,12/31/2020 16:00:00,87.59,12/31/2020 16:00:00,5010798
,1/8/2021 16:00:00,90.36,1/8/2021 16:00:00,9965340
,1/15/2021 16:00:00,86.81,1/15/2021 16:00:00,6183204
,1/22/2021 16:00:00,95.05,1/22/2021 16:00:00,7561036
,1/29/2021 16:00:00,91.79,1/29/2021 16:00:00,9374441
,2/5/2021 16:00:00,104.9,2/5/2021 16:00:00,11381539
,2/12/2021 16:00:00,105.21,2/12/2021 16:00:00,5069240
,2/19/2021 16:00:00,105.06,2/19/2021 16:00:00,4784246
,2/26/2021 16:00:00,101.84,2/26/2021 16:00:00,8195492
,3/5/2021 16:00:00,105.43,3/5/2021 16:00:00,8337115
,3/12/2021 16:00:00,103.1,3/12/2021 16:00:00,7578201
,3/19/2021 16:00:00,102.16,3/19/2021 16:00:00,7766228
,3/26/2021 16:00:00,101.78,3/26/2021 16:00:00,7388549
,4/1/2021 16:00:00,106.89,4/1/2021 16:00:00,5425459
,4/9/2021 16:00:00,114.29,4/9/2021 16:00:00,7210396
,4/16/2021 16:00:00,114.89,4/16/2021 16:00:00,6246324
,4/23/2021 16:00:00,115.77,4/23/2021 16:00:00,6009895
,4/30/2021 16:00:00,120.51,4/30/2021 16:00:00,9561479
,5/7/2021 16:00:00,119.93,5/7/2021 16:00:00,6730430
,5/14/2021 16:00:00,115.81,5/14/2021 16:00:00,7317239
,5/21/2021 16:00:00,117.26,5/21/2021 16:00:00,5158304
