"Date","Price","Open","High","Low","Vol.","Change %"
"24/01/2025","2,618.5","2,674.0","2,674.5","2,617.5","613.36K","-2.51%"
"23/01/2025","2,686.0","2,669.0","2,701.8","2,669.0","812.00K","-0.28%"
"22/01/2025","2,693.5","2,686.0","2,710.5","2,676.0","834.93K","-0.31%"
"21/01/2025","2,702.0","2,715.0","2,722.5","2,691.3","801.00K","-0.63%"
"20/01/2025","2,719.0","2,715.3","2,742.3","2,710.5","579.02K","0.00%"
"17/01/2025","2,719.0","2,718.8","2,735.0","2,710.0","421.50K","1.10%"
"16/01/2025","2,689.5","2,695.3","2,712.0","2,682.3","691.88K","0.20%"
"15/01/2025","2,684.0","2,686.0","2,688.5","2,663.5","1.02M","0.62%"
"14/01/2025","2,667.5","2,623.3","2,673.0","2,623.3","964.21K","0.23%"
"13/01/2025","2,661.3","2,667.5","2,672.5","2,638.5","1.14M","1.32%"
"10/01/2025","2,626.5","2,604.5","2,674.8","2,601.0","1.13M","0.59%"
"09/01/2025","2,611.0","2,604.0","2,629.0","2,600.3","832.12K","1.36%"
"08/01/2025","2,576.0","2,590.3","2,594.5","2,555.0","1.24M","-1.48%"
"07/01/2025","2,614.8","2,581.0","2,625.0","2,576.5","958.73K","1.44%"
"06/01/2025","2,577.8","2,578.5","2,585.0","2,561.3","563.35K","0.34%"
"03/01/2025","2,569.0","2,536.0","2,576.3","2,533.8","781.15K","1.72%"
"02/01/2025","2,525.5","2,480.5","2,533.5","2,478.5","743.47K","2.00%"
"31/12/2024","2,476.0","2,443.5","2,484.5","2,442.5","168.77K","1.23%"
"30/12/2024","2,446.0","2,430.0","2,449.0","2,428.3","524.85K","0.20%"
"27/12/2024","2,441.0","2,422.8","2,448.5","2,421.8","638.55K","0.45%"
